,City,City Name,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country
83,2126123,Chokurdakh,70.6333,147.9167,46.9,58,55,8.37,RU
84,2264538,Ponte de Sôr,39.2496,-8.0101,96.03,13,12,4.52,PT
85,2019945,Mishelevka,52.8575,103.1719,62.28,80,30,1.45,RU
86,5905393,Bonavista,48.6499,-53.1147,61.66,61,59,17.58,CA
87,5969025,Haines Junction,60.7522,-137.5108,58.75,65,100,3.09,CA
88,2022572,Khatanga,71.9667,102.5,50.25,73,98,5.79,RU
89,3703443,Panama City,8.9936,-79.5197,91.8,51,56,5.01,PA
90,475469,Verkhnetulomskiy,68.6073,31.7962,68.13,55,64,10.02,RU
91,2028462,Ulaanbaatar,47.9077,106.8832,66.52,58,94,4.47,MN
92,1643837,Gorontalo,0.5412,123.0595,75.31,97,100,0.54,ID
93,4946620,Palmer,42.1584,-72.3287,85.84,55,75,1.01,US
94,5919850,Chapais,49.7834,-74.8492,56.98,90,100,5.7,CA
95,3883457,Lebu,-37.6167,-73.65,54.5,76,32,7.45,CL
96,1819729,Hong Kong,22.2855,114.1577,85.96,81,31,1.01,HK
97,3906209,Rurrenabaque,-14.4413,-67.5278,88.66,45,67,5.99,BO
98,1489656,Teya,60.3778,92.6267,60.55,97,98,3.36,RU
99,2070998,Geraldton,-28.7667,114.6,52.21,93,75,10.36,AU
100,3443061,Chui,-33.6971,-53.4616,57.45,77,67,8.97,UY
101,1486321,Yar-Sale,66.8333,70.8333,51.06,58,3,1.21,RU
102,3381428,Iracoubo,5.4802,-53.2011,81.99,73,91,6.87,GF
103,3380290,Sinnamary,5.3833,-52.95,82.74,73,89,7.34,GF
104,2449893,Tessalit,20.1986,1.0114,101.44,18,64,5.88,ML
105,3836277,Santa Fe,-31.6333,-60.7,59.95,49,0,1.99,AR
106,1106677,Bambous Virieux,-20.3428,57.7575,70.21,73,22,15.35,MU
107,939676,Willowmore,-33.2926,23.4895,44.89,35,0,1.28,ZA
108,1651531,Ambon City,-3.6954,128.1814,78.19,87,99,4.88,ID
109,2159220,Mackay,-21.15,149.2,65.68,94,11,8.28,AU
110,4174301,Sumter,28.7086,-82.0831,89.67,59,86,7.52,US
111,1651810,Airai,-8.9266,125.4092,56.19,81,36,2.8,TL
112,2738381,Lata,40.1629,-8.3327,85.57,42,20,9.78,PT
113,261814,Koutsouras,35.0339,25.9469,80.55,61,0,8.84,GR
114,3516926,Pinotepa Nacional,16.3167,-98.0167,90.01,52,94,4.81,MX
115,4317639,Bossier City,32.516,-93.7321,88.41,67,40,6.91,US
116,2966356,Bantry,51.6833,-9.45,72.88,75,73,2.37,IE
117,2264557,Ponta do Sol,32.6667,-17.1,75.2,73,2,5.23,PT
118,2511180,Santa Cruz de La Palma,28.6835,-17.7642,73.54,73,20,16.11,ES
119,2186363,Muriwai Beach,-36.8167,174.45,47.64,87,88,7.99,NZ
120,1810845,Fuyang,32.9,115.8167,79.38,91,99,6.31,CN
121,1835848,Seoul,37.5683,126.9778,74.8,83,35,2.04,KR
122,1261394,Nīlēshwar,12.25,75.1,78.93,86,100,10.11,IN
123,5866583,Saint Paul Harbor,57.79,-152.4072,56.8,74,86,0.45,US
124,1175712,Jiwani,25.05,61.7417,86.5,80,77,2.62,PK
125,3457708,Maricá,-22.9194,-42.8186,85.86,56,20,5.82,BR
126,6170031,Tuktoyaktuk,69.4541,-133.0374,40.48,71,100,17.27,CA
127,4031574,Provideniya,64.3833,-173.3,48.2,95,100,7.74,RU
128,5654391,Glendive,47.1053,-104.7125,89.35,28,1,6.91,US
129,3136690,Stokmarknes,68.5646,14.9108,55.08,84,75,21.85,NO
130,1223738,Weligama,5.9667,80.4167,78.69,90,100,9.91,LK
131,7647007,Bariloche,-41.1456,-71.3082,41.09,72,40,12.06,AR
132,5282297,Bethel,41.3712,-73.414,85.73,65,85,1.01,US
133,5847411,Kahului,20.8947,-156.47,78.82,84,10,11.01,US
134,2074865,Carnarvon,-24.8667,113.6333,61.86,65,74,18.66,AU
135,2180815,Tuatapere,-46.1333,167.6833,42.82,96,100,6.35,NZ
136,3374210,São Filipe,14.8961,-24.4956,75.81,82,23,12.21,CV
137,2122104,Petropavlovsk-Kamchatskiy,53.0452,158.6483,51.13,86,46,12.88,RU
138,5861897,Fairbanks,64.8378,-147.7164,63.64,84,92,1.74,US
139,3874787,Punta Arenas,-53.15,-70.9167,37.11,93,93,5.93,CL
140,1282256,Hithadhoo,-0.6,73.0833,83.34,71,21,9.37,MV
141,2112802,Hasaki,35.7333,140.8333,75.04,93,97,5.79,JP
142,93709,Mandalī,33.7499,45.5541,97.63,11,0,6.53,IQ
143,2110560,Yamada,39.4667,141.95,69.06,94,0,3.29,JP
144,2134814,Sola,-13.8833,167.55,79.95,76,19,22.15,VU
145,1859964,Kaseda-shirakame,31.4167,130.3167,75.85,86,55,8.41,JP
146,546105,Nikolskoye,59.7035,30.7861,82.29,85,87,0.25,RU
147,110690,Faya,18.3851,42.4509,68.83,48,100,5.61,SA
148,933995,Souillac,-20.5167,57.5167,70.36,76,27,14.83,MU
149,964712,Plettenberg Bay,-34.0527,23.3716,53.74,50,0,4.07,ZA
150,3372707,Ribeira Grande,38.5167,-28.7,73.8,83,40,5.75,PT
151,1528998,Yumen,40.2833,97.2,74.03,41,5,6.98,CN
152,2093685,Kokopo,-4.352,152.2633,78.4,84,92,10.92,PG
153,508362,Podgornoye,51.735,39.1496,82.62,36,0,6.71,RU
154,1267390,Kavaratti,10.5669,72.642,82.63,78,100,20.51,IN
155,110690,Abhā,18.2164,42.5053,70.14,43,100,6.69,SA
156,2123979,Kuril'sk,45.2333,147.8833,58.1,95,98,3.91,RU
157,3689693,Arboletes,8.8505,-76.4269,84.02,75,100,7.67,CO
158,1805798,Jijiang,29.2906,106.2542,85.5,93,100,4.16,CN
159,304183,Bayir,37.2687,28.2167,77.52,36,0,3.29,TR
160,503374,Pytalovo,57.0679,27.9138,78.78,65,40,1.14,RU
161,2136825,Isangel,-19.55,169.2667,73.2,89,82,10.49,VU
162,160592,Chanika,-5.4167,38.0167,64.09,93,76,4.81,TZ
163,2961459,Skibbereen,51.55,-9.2667,73.2,79,52,6.89,IE
164,286621,Salalah,17.0151,54.0924,79.86,93,84,3.98,OM
165,1789647,Xichang,27.8964,102.2634,67.48,95,100,0.72,CN
166,1630058,Karaton,-6.3424,106.1045,77.23,89,36,1.34,ID
167,3418910,Upernavik,72.7868,-56.1549,41.58,87,98,7.27,GL
168,5924351,Clyde River,70.4692,-68.5914,47.16,59,92,9.73,CA
169,3155152,Gravdal,68.1214,13.5031,53.49,76,75,24.16,NO
170,3423146,Ilulissat,69.2167,-51.1,46.42,71,20,4.61,GL
171,2208248,Kaitangata,-46.2817,169.8464,50.94,82,100,13.82,NZ
172,3665202,Aripuanã,-9.1667,-60.6333,97.39,22,13,2.71,BR
173,997751,Harrismith,-28.2728,29.1295,37.18,48,0,2.91,ZA
174,3386177,Trairi,-3.2778,-39.2689,83.07,66,57,12.88,BR
175,1006984,East London,-33.0153,27.9116,59.29,42,0,3.94,ZA
176,146214,Paphos,34.7667,32.4167,79.88,73,0,4.61,CY
177,3435910,Buenos Aires,-34.6132,-58.3772,58.64,64,20,4.61,AR
178,2122389,Ossora,59.2353,163.0719,53.65,95,100,15.99,RU
179,2035707,Mujiayingzi,42.1167,118.7833,71.89,95,96,1.43,CN
180,2125906,Dukat,62.55,155.55,50.63,92,34,4.81,RU
181,2255304,Sémbé,1.6481,14.5806,76.23,78,90,2.91,CG
182,1795196,Tongchuanshi,35.0806,109.0897,74.5,86,93,3.6,CN
183,935215,Saint-Philippe,-21.3585,55.7679,70.25,76,52,12.46,RE
